A0A3B0XHN3_0_1 0.000000 0.428571 0.317191 0.322034 0.331719 0.307506 0.395990 0.455206 0.411622 0.421308 0.421308 0.394673 0.368039 0.387409 0.380145 0.380145 0.370460 0.375303 0.326877 0.326877
A0A1G0AW29_1_1 0.428571 0.000000 0.185106 0.170213 0.265659 0.231102 0.368421 0.227660 0.163830 0.163830 0.263830 0.317495 0.276688 0.289760 0.271150 0.307190 0.307190 0.318083 0.246725 0.251092
A0A1G0AW29_2_1 0.317191 0.185106 0.000000 0.195745 0.261339 0.239741 0.325815 0.238298 0.185106 0.168085 0.265957 0.315335 0.291939 0.311547 0.305857 0.322440 0.320261 0.326797 0.283843 0.286026
A0A1G0AW29_3_1 0.322034 0.170213 0.195745 0.000000 0.272138 0.237581 0.350877 0.227660 0.155319 0.185106 0.268085 0.321814 0.274510 0.281046 0.271150 0.296296 0.298475 0.322440 0.277293 0.279476
Q59462_4_1     0.331719 0.265659 0.261339 0.272138 0.000000 0.190065 0.370927 0.300216 0.267819 0.265659 0.352052 0.285097 0.350763 0.352941 0.347072 0.355120 0.359477 0.376906 0.314410 0.318777
Q59462_5_1     0.307506 0.231102 0.239741 0.237581 0.190065 0.000000 0.333333 0.300216 0.224622 0.218143 0.317495 0.237581 0.302832 0.302832 0.281996 0.305011 0.289760 0.331155 0.251092 0.253275
U3U4M7_6_1     0.395990 0.368421 0.325815 0.350877 0.370927 0.333333 0.000000 0.355890 0.333333 0.363409 0.456140 0.421053 0.433584 0.418546 0.421053 0.441103 0.441103 0.438596 0.395990 0.398496
A0A1G0AW29_7_1 0.455206 0.227660 0.238298 0.227660 0.300216 0.300216 0.355890 0.000000 0.217021 0.214894 0.304255 0.352052 0.337691 0.350763 0.336226 0.350763 0.366013 0.366013 0.344978 0.347162
A0A1G0AW29_8_1 0.411622 0.163830 0.185106 0.155319 0.267819 0.224622 0.333333 0.217021 0.000000 0.165957 0.274468 0.323974 0.281046 0.309368 0.284165 0.294118 0.298475 0.333333 0.262009 0.264192
A0A1G0AW29_9_1 0.421308 0.163830 0.168085 0.185106 0.265659 0.218143 0.363409 0.214894 0.165957 0.000000 0.263830 0.315335 0.259259 0.296296 0.262473 0.291939 0.294118 0.289760 0.235808 0.240175
OGS68397.1     0.421308 0.263830 0.265957 0.268085 0.352052 0.317495 0.456140 0.304255 0.274468 0.263830 0.000000 0.159827 0.318083 0.324619 0.329718 0.335512 0.352941 0.366013 0.360262 0.362445
Q59462.3       0.394673 0.317495 0.315335 0.321814 0.285097 0.237581 0.421053 0.352052 0.323974 0.315335 0.159827 0.000000 0.322440 0.324619 0.336226 0.339869 0.352941 0.370370 0.373362 0.375546
Q60028.3       0.368039 0.276688 0.291939 0.274510 0.350763 0.302832 0.433584 0.337691 0.281046 0.259259 0.318083 0.322440 0.000000 0.178649 0.095861 0.095861 0.172113 0.141612 0.268559 0.266376
Q31IK3.1       0.387409 0.289760 0.311547 0.281046 0.352941 0.302832 0.418546 0.350763 0.309368 0.296296 0.324619 0.324619 0.178649 0.000000 0.191721 0.193900 0.213508 0.252723 0.277293 0.279476
O84917.1       0.380145 0.271150 0.305857 0.271150 0.347072 0.281996 0.421053 0.336226 0.284165 0.262473 0.329718 0.336226 0.095861 0.191721 0.000000 0.122004 0.169935 0.152505 0.268559 0.266376
Q9ZHZ4.1       0.380145 0.307190 0.322440 0.296296 0.355120 0.305011 0.441103 0.350763 0.294118 0.291939 0.335512 0.339869 0.095861 0.193900 0.122004 0.000000 0.154684 0.161220 0.290393 0.288210
A1VNQ9.1       0.370460 0.307190 0.320261 0.298475 0.359477 0.289760 0.441103 0.366013 0.298475 0.294118 0.352941 0.352941 0.172113 0.213508 0.169935 0.154684 0.000000 0.209150 0.270742 0.270742
Q21YM9.1       0.375303 0.318083 0.326797 0.322440 0.376906 0.331155 0.438596 0.366013 0.333333 0.289760 0.366013 0.370370 0.141612 0.252723 0.152505 0.161220 0.209150 0.000000 0.299127 0.296943
P50922.1       0.326877 0.246725 0.283843 0.277293 0.314410 0.251092 0.395990 0.344978 0.262009 0.235808 0.360262 0.373362 0.268559 0.277293 0.268559 0.290393 0.270742 0.299127 0.000000 0.013100
D5AUD5.1       0.326877 0.251092 0.286026 0.279476 0.318777 0.253275 0.398496 0.347162 0.264192 0.240175 0.362445 0.375546 0.266376 0.279476 0.266376 0.288210 0.270742 0.296943 0.013100 0.000000
